genes	clusters
ENSFALG00000000272	chrN00050:clu_13705_+,chrN00050:clu_13706_+,chrN00050:clu_13707_+,chrN00050:clu_13708_+
ENSFALG00000000281	chrN00050:clu_13668_-
ENSFALG00000000285	chrN00050:clu_13713_+,chrN00050:clu_13714_+
ENSFALG00000000292	chrN00050:clu_13715_+,chrN00050:clu_13716_+,chrN00050:clu_13717_+,chrN00050:clu_13718_+
ENSFALG00000000296	chrN00171:clu_23595_+
ENSFALG00000000305	chrN00171:clu_23597_+
ENSFALG00000000307	chrN00050:clu_13721_+,chrN00050:clu_13722_+,chrN00050:clu_13723_+
ENSFALG00000000310	chrN00226:clu_25414_+
ENSFALG00000000311	chrN00050:clu_13724_+,chrN00050:clu_13725_+
ENSFALG00000000348	chrN00050:clu_13735_+,chrN00050:clu_13737_+
ENSFALG00000000354	chrN00050:clu_13692_-
ENSFALG00000000357	chrN00050:clu_13693_-
ENSFALG00000000358	chrN00050:clu_13742_+,chrN00050:clu_13743_+,chrN00050:clu_13744_+,chrN00050:clu_13745_+,chrN00050:clu_13746_+
ENSFALG00000000359	chrN00226:clu_25416_+
ENSFALG00000000371	chrN00050:clu_13694_-,chrN00050:clu_13695_-,chrN00050:clu_13696_-
ENSFALG00000000383	chrN00040:clu_12015_+,chrN00040:clu_12016_+,chrN00040:clu_12017_+,chrN00040:clu_12018_+
ENSFALG00000000384	chrN00218:clu_25258_+
ENSFALG00000000387	chrN00040:clu_12159_-,chrN00040:clu_12160_-
ENSFALG00000000388	chrN00110:clu_20308_-,chrN00110:clu_20309_-,chrN00110:clu_20310_-,chrN00110:clu_20311_-,chrN00110:clu_20312_-,chrN00110:clu_20313_-,chrN00110:clu_20314_-,chrN00110:clu_20315_-
ENSFALG00000000405	chrN00040:clu_12019_+,chrN00040:clu_12020_+,chrN00040:clu_12021_+
ENSFALG00000000411	chrN00050:clu_13755_+,chrN00050:clu_13756_+,chrN00050:clu_13757_+,chrN00050:clu_13758_+,chrN00050:clu_13759_+
ENSFALG00000000415	chrN00050:clu_13699_-,chrN00050:clu_13700_-,chrN00050:clu_13701_-
ENSFALG00000000419	chrN00040:clu_12011_+,chrN00040:clu_12024_+
ENSFALG00000000420	chrN00226:clu_25445_-
ENSFALG00000000421	chrN00040:clu_12024_+,chrN00040:clu_12025_+
ENSFALG00000000431	chrN00050:clu_13761_+,chrN00050:clu_13762_+,chrN00050:clu_13763_+
ENSFALG00000000438	chrN00110:clu_20354_+,chrN00110:clu_20355_+,chrN00110:clu_20356_+
ENSFALG00000000443	chrN00050:clu_13764_+
ENSFALG00000000445	chrN00218:clu_25263_+
ENSFALG00000000454	chrN00040:clu_12028_+
ENSFALG00000000456	chrN00181:clu_23820_+
ENSFALG00000000474	chrN00181:clu_23812_-,chrN00181:clu_23813_-,chrN00181:clu_23814_-
ENSFALG00000000478	chrN00181:clu_23826_+,chrN00181:clu_23827_+,chrN00181:clu_23828_+,chrN00181:clu_23829_+
ENSFALG00000000483	chrN00226:clu_25453_-,chrN00226:clu_25454_-,chrN00226:clu_25455_-
ENSFALG00000000489	chrN00226:clu_25429_+,chrN00226:clu_25430_+
ENSFALG00000000495	chrN00226:clu_25456_-
ENSFALG00000000506	chrN00110:clu_20321_-
ENSFALG00000000508	chrN00040:clu_12041_+,chrN00040:clu_12042_+
ENSFALG00000000515	chrN00179:clu_23784_+,chrN00179:clu_23786_+,chrN00179:clu_23787_+
ENSFALG00000000524	chrN00040:clu_12188_-,chrN00040:clu_12189_-
ENSFALG00000000528	chrN00179:clu_23789_+
ENSFALG00000000530	chrN00179:clu_23795_-,chrN00179:clu_23796_-
ENSFALG00000000536	chrN00226:clu_25458_-
ENSFALG00000000537	chrN00040:clu_12190_-
ENSFALG00000000538	chrN00040:clu_12051_+
ENSFALG00000000539	chrN00040:clu_12052_+
ENSFALG00000000548	chrN00110:clu_20331_-
ENSFALG00000000570	chrN00304:clu_27062_+
ENSFALG00000000575	chrN00304:clu_27078_-
ENSFALG00000000581	chrN00040:clu_12204_-,chrN00040:clu_12205_-
ENSFALG00000000587	chrN00040:clu_12057_+
ENSFALG00000000592	chrN00040:clu_12058_+,chrN00040:clu_12059_+
ENSFALG00000000596	chrN00110:clu_20372_+
ENSFALG00000000599	chrN00040:clu_12210_-,chrN00040:clu_12211_-
ENSFALG00000000600	chrN00040:clu_12062_+
ENSFALG00000000609	chrN00110:clu_20379_+
ENSFALG00000000611	chrN00040:clu_12070_+
ENSFALG00000000617	chrN00110:clu_20380_+,chrN00110:clu_20381_+
ENSFALG00000000624	chrN00068:clu_16416_+,chrN00068:clu_16417_+,chrN00068:clu_16420_+
ENSFALG00000000629	chrN00210:clu_24996_+
ENSFALG00000000633	chrN00210:clu_24997_+,chrN00210:clu_24998_+,chrN00210:clu_24999_+
ENSFALG00000000635	chrN00210:clu_25000_+
ENSFALG00000000643	chrN00222:clu_25347_-,chrN00222:clu_25348_-,chrN00222:clu_25349_-
ENSFALG00000000647	chrN00210:clu_24954_-,chrN00210:clu_24955_-
ENSFALG00000000648	chrN00040:clu_12076_+,chrN00040:clu_12077_+
ENSFALG00000000651	chrN00040:clu_12078_+
ENSFALG00000000661	chrN00210:clu_24959_-,chrN00210:clu_24960_-
ENSFALG00000000666	chrN00110:clu_20391_+
ENSFALG00000000668	chrN00110:clu_20343_-
ENSFALG00000000673	chrN00359:clu_27650_-
ENSFALG00000000675	chrN00210:clu_24966_-
ENSFALG00000000684	chrN00068:clu_16421_+
ENSFALG00000000685	chrN00250:clu_26170_+,chrN00250:clu_26171_+
ENSFALG00000000696	chrN00260:clu_26386_+,chrN00260:clu_26387_+,chrN00260:clu_26388_+,chrN00260:clu_26389_+,chrN00260:clu_26390_+,chrN00260:clu_26391_+
ENSFALG00000000698	chrN00040:clu_12227_-,chrN00040:clu_12228_-,chrN00040:clu_12229_-
ENSFALG00000000699	chrN00068:clu_16567_-,chrN00068:clu_16568_-
ENSFALG00000000705	chrN00068:clu_16569_-
ENSFALG00000000707	chrN00260:clu_26397_-
ENSFALG00000000709	chrN00210:clu_24968_-
ENSFALG00000000718	chrN00068:clu_16423_+,chrN00068:clu_16424_+,chrN00068:clu_16425_+
ENSFALG00000000719	chrN00210:clu_25012_+
ENSFALG00000000721	chrN00260:clu_26398_-,chrN00260:clu_26399_-
ENSFALG00000000725	chrN00260:clu_26400_-,chrN00260:clu_26401_-
ENSFALG00000000726	chrN00040:clu_12231_-,chrN00040:clu_12232_-
ENSFALG00000000727	chrN00068:clu_16571_-
ENSFALG00000000733	chrN00240:clu_25957_-
ENSFALG00000000753	chrN00240:clu_28535_+,chrN00240:clu_28536_+,chrN00240:clu_28537_+
ENSFALG00000000759	chrN00240:clu_28538_+
ENSFALG00000000770	chrN00065:clu_16030_+,chrN00065:clu_16031_+
ENSFALG00000000773	chrN00040:clu_12244_-,chrN00040:clu_12245_-
ENSFALG00000000775	chrN00065:clu_16032_+,chrN00065:clu_16033_+,chrN00065:clu_16034_+,chrN00065:clu_16035_+
ENSFALG00000000782	chrN00026:clu_8754_-
ENSFALG00000000796	chrN00210:clu_24983_-,chrN00210:clu_24984_-
ENSFALG00000000798	chrN00065:clu_16046_+,chrN00065:clu_16047_+,chrN00065:clu_16048_+,chrN00065:clu_16049_+,chrN00065:clu_16050_+
ENSFALG00000000813	chrN00342:clu_27494_-
ENSFALG00000000814	chrN00065:clu_16106_-
ENSFALG00000000824	chrN00040:clu_12094_+,chrN00040:clu_12095_+
ENSFALG00000000827	chrN00065:clu_16107_-
ENSFALG00000000828	chrN00120:clu_21004_+
ENSFALG00000000831	chrN00210:clu_25037_+
ENSFALG00000000834	chrN00210:clu_24988_-,chrN00210:clu_24989_-,chrN00210:clu_24990_-,chrN00210:clu_24991_-,chrN00210:clu_24992_-
ENSFALG00000000837	chrN00040:clu_12098_+
ENSFALG00000000839	chrN00229:clu_25581_+,chrN00229:clu_25582_+
ENSFALG00000000842	chrN00210:clu_24993_-
ENSFALG00000000845	chrN00229:clu_25583_+,chrN00229:clu_25584_+
ENSFALG00000000854	chrN00210:clu_25038_+
ENSFALG00000000858	chrN00068:clu_16581_-
ENSFALG00000000859	chrN00229:clu_25560_-
ENSFALG00000000865	chrN00210:clu_25040_+,chrN00210:clu_25041_+
ENSFALG00000000866	chrN00040:clu_12252_-
ENSFALG00000000871	chrN00120:clu_21006_+,chrN00120:clu_21007_+,chrN00120:clu_21008_+
ENSFALG00000000873	chrN00296:clu_26939_+,chrN00296:clu_26940_+
ENSFALG00000000876	chrN00068:clu_16583_-
ENSFALG00000000878	chrN00250:clu_26206_+
ENSFALG00000000881	chrN00973:clu_28363_-
ENSFALG00000000885	chrN00229:clu_25562_-,chrN00229:clu_25563_-
ENSFALG00000000896	chrN00296:clu_26935_-,chrN00296:clu_26936_-,chrN00296:clu_26937_-
ENSFALG00000000900	chrN00229:clu_25590_+
ENSFALG00000000901	chrN00040:clu_12103_+
ENSFALG00000000910	chrN00285:clu_26796_-
ENSFALG00000000915	chrN00068:clu_16462_+
ENSFALG00000000927	chrN00065:clu_16112_-,chrN00065:clu_16113_-,chrN00065:clu_16114_-
ENSFALG00000000934	chrN00197:clu_24575_+,chrN00197:clu_24576_+,chrN00197:clu_24577_+,chrN00197:clu_24578_+
ENSFALG00000000939	chrN00065:clu_16116_-,chrN00065:clu_16117_-
ENSFALG00000000945	chrN00065:clu_16118_-
ENSFALG00000000960	chrN00197:clu_24616_-,chrN00197:clu_24617_-,chrN00197:clu_24618_-,chrN00197:clu_24619_-
ENSFALG00000000966	chrN00194:clu_24419_-,chrN00194:clu_24420_-
ENSFALG00000000991	chrN00065:clu_16067_+
ENSFALG00000001000	chrN00120:clu_21017_+
ENSFALG00000001005	chrN00068:clu_16491_+,chrN00068:clu_16492_+
ENSFALG00000001009	chrN00194:clu_24432_+
ENSFALG00000001010	chrN00194:clu_24425_-
ENSFALG00000001014	chrN00065:clu_16134_-,chrN00065:clu_16135_-,chrN00065:clu_16136_-,chrN00065:clu_16137_-
ENSFALG00000001020	chrN00068:clu_16493_+
ENSFALG00000001023	chrN00217:clu_25247_+
ENSFALG00000001025	chrN00194:clu_24435_+,chrN00194:clu_24436_+,chrN00194:clu_24437_+,chrN00194:clu_24438_+
ENSFALG00000001030	chrN00120:clu_21034_-
ENSFALG00000001031	chrN00026:clu_8773_-,chrN00026:clu_8774_-,chrN00026:clu_8775_-
ENSFALG00000001042	chrN00026:clu_8744_+
ENSFALG00000001046	chrN00120:clu_21036_-,chrN00120:clu_21037_-,chrN00120:clu_21040_-,chrN00120:clu_21041_-,chrN00120:clu_21042_-
ENSFALG00000001048	chrN00094:clu_19260_-,chrN00094:clu_19261_-
ENSFALG00000001050	chrN00208:clu_24890_-,chrN00208:clu_24891_-,chrN00208:clu_24892_-,chrN00208:clu_24893_-
ENSFALG00000001053	chrN00065:clu_16073_+,chrN00065:clu_16074_+
ENSFALG00000001054	chrN00040:clu_12107_+
ENSFALG00000001056	chrN00197:clu_24600_+
ENSFALG00000001061	chrN00068:clu_16498_+
ENSFALG00000001062	chrN00217:clu_25242_-,chrN00217:clu_25243_-,chrN00217:clu_25244_-,chrN00217:clu_25245_-
ENSFALG00000001064	chrN00068:clu_16593_-
ENSFALG00000001068	chrN00065:clu_16142_-,chrN00065:clu_16143_-,chrN00065:clu_16144_-
ENSFALG00000001069	chrN00229:clu_25592_+
ENSFALG00000001072	chrN00197:clu_24631_-,chrN00197:clu_24632_-
ENSFALG00000001075	chrN00229:clu_25593_+,chrN00229:clu_25594_+
ENSFALG00000001082	chrN00120:clu_21019_+,chrN00120:clu_21020_+
ENSFALG00000001086	chrN00208:clu_24914_+,chrN00208:clu_24915_+,chrN00208:clu_24916_+
ENSFALG00000001089	chrN00308:clu_27115_+,chrN00308:clu_27116_+
ENSFALG00000001097	chrN00065:clu_16145_-,chrN00065:clu_16147_-,chrN00065:clu_16148_-,chrN00065:clu_16149_-,chrN00065:clu_16150_-,chrN00065:clu_16151_-
ENSFALG00000001100	chrN00120:clu_21048_-
ENSFALG00000001138	chrN00229:clu_25576_-
ENSFALG00000001148	chrN00040:clu_12280_-
ENSFALG00000001158	chrN00229:clu_25577_-
ENSFALG00000001167	chrN00109:clu_20292_-,chrN00109:clu_20293_-
ENSFALG00000001170	chrN00347:clu_27551_+
ENSFALG00000001177	chrN00109:clu_20278_+,chrN00109:clu_20279_+,chrN00109:clu_20280_+
ENSFALG00000001187	chrN00229:clu_25601_+,chrN00229:clu_25602_+
ENSFALG00000001192	chrN00040:clu_12119_+
ENSFALG00000001193	chrN00109:clu_20281_+
ENSFALG00000001196	chrN00094:clu_19265_-,chrN00094:clu_19266_-
ENSFALG00000001204	chrN00094:clu_19301_+,chrN00094:clu_19302_+,chrN00094:clu_19303_+
ENSFALG00000001205	chrN00065:clu_16083_+,chrN00065:clu_16084_+
ENSFALG00000001212	chrN00094:clu_19270_-
ENSFALG00000001218	chrN00094:clu_19311_+
ENSFALG00000001220	chrN00347:clu_27574_+
ENSFALG00000001222	chrN00065:clu_16085_+
ENSFALG00000001235	chrN00109:clu_20302_-
ENSFALG00000001237	chrN00290:clu_26864_-,chrN00290:clu_26865_-,chrN00290:clu_26866_-,chrN00290:clu_26867_-
ENSFALG00000001238	chrN00109:clu_20286_+,chrN00109:clu_20287_+
ENSFALG00000001240	chrN00068:clu_16610_-,chrN00068:clu_16611_-
ENSFALG00000001246	chrN00347:clu_27542_-,chrN00347:clu_27543_-,chrN00347:clu_27544_-
ENSFALG00000001249	chrN00290:clu_26868_-
ENSFALG00000001250	chrN00109:clu_20291_+
ENSFALG00000001256	chrN00040:clu_12125_+
ENSFALG00000001258	chrN00094:clu_19314_+,chrN00094:clu_19315_+,chrN00094:clu_19316_+,chrN00094:clu_19317_+,chrN00094:clu_19318_+
ENSFALG00000001263	chrN00068:clu_16523_+
ENSFALG00000001267	chrN00065:clu_16158_-
ENSFALG00000001287	chrN00039:clu_11790_+
ENSFALG00000001290	chrN00040:clu_12293_-,chrN00040:clu_12294_-,chrN00040:clu_12295_-
ENSFALG00000001293	chrN00068:clu_16616_-,chrN00068:clu_16617_-
ENSFALG00000001295	chrN00039:clu_11791_+
ENSFALG00000001298	chrN00039:clu_11794_+
ENSFALG00000001301	chrN00039:clu_11795_+
ENSFALG00000001306	chrN00094:clu_19275_-
ENSFALG00000001314	chrN00068:clu_16530_+
ENSFALG00000001315	chrN00039:clu_11797_+,chrN00039:clu_11798_+
ENSFALG00000001333	chrN00065:clu_16093_+,chrN00065:clu_16094_+,chrN00065:clu_16095_+,chrN00065:clu_16096_+
ENSFALG00000001334	chrN00068:clu_16535_+,chrN00068:clu_16536_+,chrN00068:clu_16537_+
ENSFALG00000001336	chrN00602:clu_28196_+
ENSFALG00000001338	chrN00094:clu_19284_-,chrN00094:clu_19285_-,chrN00094:clu_19286_-,chrN00094:clu_19287_-,chrN00094:clu_19288_-,chrN00094:clu_19289_-,chrN00094:clu_19290_-,chrN00094:clu_19291_-
ENSFALG00000001340	chrN00602:clu_28198_-
ENSFALG00000001347	chrN00183:clu_23896_+,chrN00183:clu_23897_+,chrN00183:clu_23898_+,chrN00183:clu_23899_+,chrN00183:clu_23900_+,chrN00183:clu_23901_+,chrN00183:clu_23902_+
ENSFALG00000001353	chrN00094:clu_19330_+,chrN00094:clu_19331_+,chrN00094:clu_19332_+,chrN00094:clu_19333_+,chrN00094:clu_19334_+,chrN00094:clu_19335_+
ENSFALG00000001355	chrN00039:clu_11623_-,chrN00039:clu_11624_-,chrN00039:clu_11625_-
ENSFALG00000001356	chrN00068:clu_16544_+,chrN00068:clu_16545_+,chrN00068:clu_16546_+,chrN00068:clu_16547_+,chrN00068:clu_16548_+,chrN00068:clu_16549_+,chrN00068:clu_16550_+,chrN00068:clu_16551_+,chrN00068:clu_16552_+,chrN00068:clu_16553_+
ENSFALG00000001360	chrN00039:clu_11626_-
ENSFALG00000001368	chrN00430:clu_27951_-,chrN00430:clu_27952_-
ENSFALG00000001374	chrN00183:clu_23881_-,chrN00183:clu_23882_-
ENSFALG00000001380	chrN00367:clu_27697_-,chrN00367:clu_27698_-,chrN00367:clu_27699_-
ENSFALG00000001383	chrN00367:clu_27693_+,chrN00367:clu_27694_+,chrN00367:clu_27695_+,chrN00367:clu_27696_+
ENSFALG00000001434	chrN00039:clu_11661_-
ENSFALG00000001449	chrN00039:clu_11866_+
ENSFALG00000001466	chrN00039:clu_11882_+
ENSFALG00000001472	chrN00083:clu_18160_+,chrN00083:clu_18161_+
ENSFALG00000001481	chrN00055:clu_14663_+,chrN00055:clu_14665_+
ENSFALG00000001486	chrN00079:clu_17881_+,chrN00079:clu_17882_+,chrN00079:clu_17883_+
ENSFALG00000001493	chrN00048:clu_13390_+,chrN00048:clu_13391_+
ENSFALG00000001509	chrN00039:clu_11892_+
ENSFALG00000001513	chrN00055:clu_14700_-,chrN00055:clu_14701_-
ENSFALG00000001518	chrN00055:clu_14702_-,chrN00055:clu_14703_-
ENSFALG00000001522	chrN00048:clu_13398_+,chrN00048:clu_13399_+
ENSFALG00000001524	chrN00079:clu_17837_-,chrN00079:clu_17838_-,chrN00079:clu_17839_-,chrN00079:clu_17840_-,chrN00079:clu_17841_-,chrN00079:clu_17842_-
ENSFALG00000001543	chrN00048:clu_13400_+
ENSFALG00000001554	chrN00079:clu_17899_+
ENSFALG00000001560	chrN00055:clu_14680_+,chrN00055:clu_14681_+
ENSFALG00000001565	chrN00039:clu_11900_+,chrN00039:clu_11901_+,chrN00039:clu_11902_+
ENSFALG00000001568	chrN00083:clu_18218_-,chrN00083:clu_18219_-
ENSFALG00000001570	chrN00055:clu_14683_+,chrN00055:clu_14684_+
ENSFALG00000001578	chrN00039:clu_11903_+,chrN00039:clu_11904_+
ENSFALG00000001579	chrN00055:clu_14716_-
ENSFALG00000001588	chrN00083:clu_18186_+,chrN00083:clu_18188_+
ENSFALG00000001590	chrN00338:clu_27451_-
ENSFALG00000001593	chrN00083:clu_18220_-,chrN00083:clu_18221_-
ENSFALG00000001598	chrN00039:clu_11719_-,chrN00039:clu_11721_-,chrN00039:clu_11722_-,chrN00039:clu_11723_-
ENSFALG00000001608	chrN00048:clu_13364_-
ENSFALG00000001612	chrN00083:clu_18190_+,chrN00083:clu_18191_+,chrN00083:clu_18192_+,chrN00083:clu_18193_+,chrN00083:clu_18194_+,chrN00083:clu_18195_+,chrN00083:clu_18196_+,chrN00083:clu_18197_+,chrN00083:clu_18198_+
ENSFALG00000001613	chrN00048:clu_13365_-,chrN00048:clu_13366_-
ENSFALG00000001621	chrN00178:clu_23777_-,chrN00178:clu_23778_-
ENSFALG00000001625	chrN00178:clu_23779_-,chrN00178:clu_23780_-
ENSFALG00000001632	chrN00079:clu_17907_+
ENSFALG00000001640	chrN00178:clu_23760_+,chrN00178:clu_23761_+,chrN00178:clu_23762_+,chrN00178:clu_23763_+,chrN00178:clu_23764_+,chrN00178:clu_23765_+
ENSFALG00000001644	chrN00055:clu_14720_-,chrN00055:clu_14721_-,chrN00055:clu_14722_-,chrN00055:clu_14723_-
ENSFALG00000001647	chrN00055:clu_14724_-,chrN00055:clu_14725_-,chrN00055:clu_14726_-
ENSFALG00000001656	chrN00079:clu_17911_+,chrN00079:clu_17912_+,chrN00079:clu_17913_+,chrN00079:clu_17915_+
ENSFALG00000001658	chrN00048:clu_13414_+
ENSFALG00000001662	chrN00300:clu_27018_+,chrN00300:clu_27019_+
ENSFALG00000001675	chrN00055:clu_14734_-,chrN00055:clu_14735_-,chrN00055:clu_14736_-,chrN00055:clu_14737_-,chrN00055:clu_14738_-,chrN00055:clu_14739_-
ENSFALG00000001680	chrN00039:clu_11907_+,chrN00039:clu_11908_+
ENSFALG00000001684	chrN00048:clu_13416_+
ENSFALG00000001687	chrN00204:clu_24756_-
ENSFALG00000001691	chrN00022:clu_7848_+,chrN00022:clu_7849_+,chrN00022:clu_7850_+,chrN00022:clu_7851_+
ENSFALG00000001693	chrN00039:clu_11725_-
ENSFALG00000001699	chrN00022:clu_7775_-
ENSFALG00000001705	chrN00178:clu_23772_+,chrN00178:clu_23773_+,chrN00178:clu_23774_+
ENSFALG00000001706	chrN00204:clu_24792_+,chrN00204:clu_24793_+
ENSFALG00000001708	chrN00022:clu_7855_+
ENSFALG00000001712	chrN00055:clu_14743_-,chrN00055:clu_14744_-
ENSFALG00000001716	chrN00115:clu_20689_-,chrN00115:clu_20690_-,chrN00115:clu_20695_-
ENSFALG00000001739	chrN00079:clu_17864_-,chrN00079:clu_17865_-
ENSFALG00000001743	chrN00115:clu_20699_-
ENSFALG00000001749	chrN00204:clu_24799_+
ENSFALG00000001751	chrN00284:clu_26769_+,chrN00284:clu_26770_+
ENSFALG00000001754	chrN00204:clu_24800_+,chrN00204:clu_24801_+,chrN00204:clu_24802_+,chrN00204:clu_24803_+
ENSFALG00000001755	chrN00115:clu_20700_-,chrN00115:clu_20701_-,chrN00115:clu_20702_-
ENSFALG00000001757	chrN00204:clu_24771_-,chrN00204:clu_24773_-,chrN00204:clu_24774_-,chrN00204:clu_24775_-,chrN00204:clu_24776_-
ENSFALG00000001758	chrN00039:clu_11923_+,chrN00039:clu_11924_+,chrN00039:clu_11925_+,chrN00039:clu_11926_+
ENSFALG00000001761	chrN00204:clu_24777_-,chrN00204:clu_24778_-,chrN00204:clu_24779_-
ENSFALG00000001764	chrN00204:clu_24780_-,chrN00204:clu_24781_-,chrN00204:clu_24782_-,chrN00204:clu_24783_-,chrN00204:clu_24784_-,chrN00204:clu_24785_-,chrN00204:clu_24786_-,chrN00204:clu_24787_-
ENSFALG00000001767	chrN00039:clu_11731_-,chrN00039:clu_11732_-,chrN00039:clu_11733_-
ENSFALG00000001771	chrN00204:clu_24788_-,chrN00204:clu_24789_-
ENSFALG00000001773	chrN00048:clu_13435_+
ENSFALG00000001775	chrN00048:clu_13429_+,chrN00048:clu_13438_+
ENSFALG00000001780	chrN00048:clu_13382_-,chrN00048:clu_13383_-,chrN00048:clu_13384_-,chrN00048:clu_13385_-
ENSFALG00000001781	chrN00204:clu_24807_+,chrN00204:clu_24808_+,chrN00204:clu_24809_+,chrN00204:clu_24810_+,chrN00204:clu_24811_+
ENSFALG00000001788	chrN00039:clu_11935_+,chrN00039:clu_11936_+,chrN00039:clu_11937_+,chrN00039:clu_11938_+
ENSFALG00000001791	chrN00039:clu_11734_-,chrN00039:clu_11735_-,chrN00039:clu_11736_-
ENSFALG00000001792	chrN00069:clu_16642_+,chrN00069:clu_16643_+
ENSFALG00000001796	chrN00069:clu_16693_-,chrN00069:clu_16694_-
ENSFALG00000001800	chrN00079:clu_17926_+
ENSFALG00000001805	chrN00079:clu_17869_-,chrN00079:clu_17870_-
ENSFALG00000001809	chrN00039:clu_11738_-,chrN00039:clu_11739_-,chrN00039:clu_11740_-,chrN00039:clu_11741_-,chrN00039:clu_11742_-,chrN00039:clu_11743_-
ENSFALG00000001813	chrN00039:clu_11941_+,chrN00039:clu_11942_+,chrN00039:clu_11943_+,chrN00039:clu_11944_+,chrN00039:clu_11945_+,chrN00039:clu_11946_+
ENSFALG00000001825	chrN00022:clu_7872_+
ENSFALG00000001827	chrN00022:clu_7873_+,chrN00022:clu_7874_+,chrN00022:clu_7875_+,chrN00022:clu_7876_+
ENSFALG00000001831	chrN00022:clu_7784_-
ENSFALG00000001833	chrN00079:clu_17876_-
ENSFALG00000001838	chrN00022:clu_7785_-
ENSFALG00000001840	chrN00022:clu_7786_-,chrN00022:clu_7787_-,chrN00022:clu_7788_-,chrN00022:clu_7789_-
ENSFALG00000001841	chrN00079:clu_17880_-
ENSFALG00000001844	chrN00022:clu_7790_-,chrN00022:clu_7791_-
ENSFALG00000001855	chrN00115:clu_20685_+
ENSFALG00000001873	chrN00069:clu_16654_+,chrN00069:clu_16655_+,chrN00069:clu_16656_+,chrN00069:clu_16657_+
ENSFALG00000001878	chrN00115:clu_20723_-,chrN00115:clu_20724_-,chrN00115:clu_20725_-
ENSFALG00000001888	chrN00022:clu_7902_+
ENSFALG00000001896	chrN00039:clu_11746_-,chrN00039:clu_11747_-,chrN00039:clu_11748_-
ENSFALG00000001902	chrN00022:clu_7904_+,chrN00022:clu_7905_+,chrN00022:clu_7906_+
ENSFALG00000001905	chrN00115:clu_20726_-,chrN00115:clu_20727_-,chrN00115:clu_20728_-
ENSFALG00000001918	chrN00230:clu_25615_+
ENSFALG00000001929	chrN00022:clu_7809_-,chrN00022:clu_7810_-
ENSFALG00000001930	chrN00069:clu_16689_+,chrN00069:clu_16690_+
